epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.797,6.80701,10.1731,6.89164,0.13238,0.06081,0.04199,0.0064,6.35175,15.5025,5.76645,0.000663805,0.000663805,0.000663805
2,309.793,5.08935,5.57328,5.39878,0.09553,0.19595,0.0462,0.008,6.20868,6.61118,5.25237,0.0013173,0.0013173,0.0013173
3,457.898,4.38509,4.61367,4.7117,0.23498,0.21622,0.16238,0.03731,5.06345,5.82382,4.55208,0.0019576,0.0019576,0.0019576
4,604.92,3.84903,3.88818,4.13448,0.27533,0.34459,0.19817,0.06944,4.76011,4.7755,4.33624,0.0019406,0.0019406,0.0019406
5,752.234,3.47004,3.36666,3.69759,0.56031,0.40541,0.41885,0.16643,4.14481,4.03772,3.89144,0.0019208,0.0019208,0.0019208
6,899.623,3.191,3.09912,3.42393,0.6393,0.48649,0.46729,0.22926,3.60966,3.72742,3.40562,0.001901,0.001901,0.001901
7,1046.65,2.97329,2.85008,3.20967,0.62638,0.53241,0.53719,0.26142,3.44081,3.43091,3.19832,0.0018812,0.0018812,0.0018812
8,1193.85,2.84109,2.71548,3.09127,0.68802,0.46194,0.52157,0.29593,3.1059,3.57796,3.07286,0.0018614,0.0018614,0.0018614
9,1341.61,2.72416,2.58692,2.99254,0.59359,0.47973,0.50694,0.28174,3.3097,3.48201,3.10496,0.0018416,0.0018416,0.0018416
10,1489.42,2.65244,2.51897,2.91416,0.71802,0.49895,0.50555,0.30301,2.99744,3.30878,2.93052,0.0018218,0.0018218,0.0018218
11,1636.79,2.56341,2.46837,2.86069,0.76235,0.53378,0.54021,0.27242,3.24253,3.31224,2.84937,0.001802,0.001802,0.001802
12,1784.05,2.52265,2.44349,2.82681,0.64832,0.56757,0.55386,0.33857,2.86764,2.95661,2.79416,0.0017822,0.0017822,0.0017822
13,1931.25,2.46299,2.3568,2.77641,0.61663,0.49324,0.50595,0.29221,2.96325,2.98965,2.77295,0.0017624,0.0017624,0.0017624
14,2078.15,2.46167,2.26479,2.749,0.72752,0.54121,0.56543,0.3223,2.8441,3.05333,2.76857,0.0017426,0.0017426,0.0017426
15,2225.93,2.36859,2.2428,2.71629,0.6693,0.53378,0.52961,0.33487,2.67415,3.11807,2.56324,0.0017228,0.0017228,0.0017228
16,2372.95,2.35318,2.20709,2.68619,0.63543,0.55405,0.54711,0.36693,2.47766,2.9572,2.46767,0.001703,0.001703,0.001703
17,2520.17,2.31972,2.15833,2.66298,0.67361,0.56081,0.5514,0.343,2.63577,2.71187,2.51894,0.0016832,0.0016832,0.0016832
18,2667.61,2.2796,2.10818,2.62502,0.63908,0.59459,0.57265,0.37616,2.52449,2.74435,2.51612,0.0016634,0.0016634,0.0016634
19,2814.58,2.28699,2.16872,2.63917,0.69952,0.58784,0.58021,0.3902,2.37959,2.68691,2.44151,0.0016436,0.0016436,0.0016436
20,2961.76,2.2553,2.08283,2.59005,0.76665,0.55498,0.60392,0.44321,2.32262,2.55792,2.39306,0.0016238,0.0016238,0.0016238
21,3109.42,2.22728,2.08987,2.58898,0.69192,0.57666,0.60282,0.37824,2.53179,2.59246,2.44948,0.001604,0.001604,0.001604
22,3256.37,2.18533,2.01406,2.56002,0.69936,0.5473,0.5981,0.39639,2.39677,2.54201,2.42521,0.0015842,0.0015842,0.0015842
23,3403.45,2.18552,2.03227,2.54755,0.60358,0.59459,0.54608,0.34148,2.37069,2.70956,2.36305,0.0015644,0.0015644,0.0015644
24,3550.17,2.15012,1.98459,2.53982,0.80705,0.5473,0.65427,0.4144,2.41127,2.51959,2.40599,0.0015446,0.0015446,0.0015446
25,3697.54,2.14153,1.95367,2.51085,0.71063,0.64865,0.67454,0.46311,2.25744,2.33243,2.27573,0.0015248,0.0015248,0.0015248
26,3844.83,2.14095,1.98126,2.51511,0.64858,0.66892,0.65107,0.43375,2.31258,2.44292,2.29372,0.001505,0.001505,0.001505
27,3991.99,2.11684,1.9384,2.49634,0.78624,0.57432,0.6578,0.45865,2.20384,2.47982,2.30703,0.0014852,0.0014852,0.0014852
28,4139.49,2.13402,1.97299,2.499,0.73833,0.57195,0.6204,0.44204,2.31214,2.42123,2.38158,0.0014654,0.0014654,0.0014654
29,4286.76,2.07004,1.8842,2.47355,0.7484,0.60811,0.63817,0.42998,2.39384,2.45479,2.3248,0.0014456,0.0014456,0.0014456
30,4433.93,2.05139,1.85011,2.4361,0.77606,0.60135,0.65271,0.45024,2.24898,2.41683,2.28839,0.0014258,0.0014258,0.0014258
31,4581.03,2.06956,1.83915,2.45578,0.70463,0.66088,0.65668,0.45943,2.17545,2.24917,2.22727,0.001406,0.001406,0.001406
32,4728.66,2.06702,1.85498,2.45657,0.72808,0.57893,0.62129,0.43226,2.23977,2.51843,2.28016,0.0013862,0.0013862,0.0013862
33,4875.69,2.04734,1.85319,2.4391,0.74345,0.54827,0.63282,0.41939,2.22782,2.54059,2.32633,0.0013664,0.0013664,0.0013664
34,5023.02,2.02344,1.80875,2.42863,0.70216,0.56081,0.59552,0.41155,2.26863,2.5856,2.37092,0.0013466,0.0013466,0.0013466
35,5170.66,2.0042,1.80932,2.41799,0.71595,0.64717,0.65145,0.43498,2.26831,2.49101,2.2971,0.0013268,0.0013268,0.0013268
36,5317.61,2.02175,1.83529,2.42901,0.66488,0.66216,0.6703,0.44553,2.28146,2.45347,2.30638,0.001307,0.001307,0.001307
37,5465.01,1.96819,1.74758,2.38991,0.76757,0.62838,0.66886,0.45641,2.25451,2.40198,2.25926,0.0012872,0.0012872,0.0012872
38,5612.55,1.96315,1.77772,2.38727,0.76003,0.60811,0.64506,0.42507,2.28106,2.39381,2.26291,0.0012674,0.0012674,0.0012674
39,5759.76,1.9426,1.74249,2.38314,0.71654,0.65541,0.67531,0.45371,2.30633,2.31021,2.26559,0.0012476,0.0012476,0.0012476
