epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.7068,7.20844,12.7301,7.21256,0.0017,0.38514,0.00327,0.00085,6.84008,11.5633,6.13493,0.000663805,0.000663805,0.000663805
2,174.061,5.11007,6.65425,5.40406,0.13198,0.14189,0.05779,0.0134,5.67638,6.51785,4.77724,0.0013173,0.0013173,0.0013173
3,250.939,4.42376,5.12704,4.50739,0.13291,0.15541,0.08137,0.0224,5.3504,6.19399,4.72662,0.0019576,0.0019576,0.0019576
4,327.441,3.98205,4.38432,3.97035,0.29496,0.31757,0.22274,0.0633,4.53625,5.41689,4.26815,0.0019406,0.0019406,0.0019406
5,404.408,3.61584,3.83376,3.57359,0.36375,0.39189,0.30414,0.11048,4.21987,4.45221,3.73329,0.0019208,0.0019208,0.0019208
6,481.733,3.34555,3.53479,3.31985,0.44394,0.42568,0.35593,0.14024,3.73019,4.30128,3.50752,0.001901,0.001901,0.001901
7,558.59,3.14656,3.21784,3.13127,0.43433,0.43919,0.33617,0.15824,3.36806,4.02312,3.12904,0.0018812,0.0018812,0.0018812
8,635.524,2.9872,3.01783,2.99422,0.57307,0.46256,0.43743,0.23066,3.30744,3.70473,3.10093,0.0018614,0.0018614,0.0018614
9,712.104,2.92289,2.91653,2.9456,0.52866,0.50676,0.43906,0.22265,3.363,3.7408,2.99538,0.0018416,0.0018416,0.0018416
10,789.964,2.84385,2.79098,2.88563,0.50005,0.50685,0.40647,0.225,3.00096,3.6691,2.87836,0.0018218,0.0018218,0.0018218
11,866.947,2.72929,2.72641,2.82106,0.66823,0.47634,0.51723,0.2503,3.29543,3.55646,2.79228,0.001802,0.001802,0.001802
12,945.425,2.72513,2.68877,2.81825,0.75875,0.46622,0.51299,0.28931,2.89151,3.30327,2.7109,0.0017822,0.0017822,0.0017822
13,1024.32,2.66391,2.60324,2.77186,0.57128,0.54054,0.50098,0.27387,2.87941,3.27173,2.69572,0.0017624,0.0017624,0.0017624
14,1100.7,2.6366,2.54476,2.72856,0.64921,0.46622,0.51236,0.27356,2.98911,3.35465,2.73453,0.0017426,0.0017426,0.0017426
15,1177.35,2.55006,2.46159,2.68956,0.61988,0.56081,0.5354,0.31736,2.64897,3.17758,2.59872,0.0017228,0.0017228,0.0017228
16,1254.1,2.54859,2.46589,2.67578,0.60757,0.5,0.50521,0.33001,2.64734,3.18058,2.53475,0.001703,0.001703,0.001703
17,1331.78,2.4883,2.40401,2.64615,0.62732,0.58004,0.56382,0.3167,2.86294,3.07971,2.58522,0.0016832,0.0016832,0.0016832
18,1408.38,2.43514,2.35119,2.60934,0.61893,0.60135,0.57147,0.36023,2.74937,2.92685,2.57544,0.0016634,0.0016634,0.0016634
19,1485.66,2.49754,2.40476,2.65931,0.71413,0.46622,0.55132,0.3613,2.66745,2.96715,2.48122,0.0016436,0.0016436,0.0016436
20,1562.89,2.41273,2.30187,2.59017,0.77466,0.50676,0.58212,0.37776,2.55994,2.99801,2.47323,0.0016238,0.0016238,0.0016238
21,1640.15,2.40558,2.31081,2.58917,0.70017,0.57432,0.60521,0.35435,2.64457,2.91127,2.50361,0.001604,0.001604,0.001604
22,1717.27,2.36485,2.22702,2.57392,0.65834,0.53378,0.51136,0.32115,2.4015,3.00166,2.38812,0.0015842,0.0015842,0.0015842
23,1793.84,2.33802,2.2176,2.54976,0.68844,0.53378,0.55867,0.35246,2.55976,2.8437,2.43051,0.0015644,0.0015644,0.0015644
24,1870.41,2.33123,2.20705,2.53599,0.62636,0.58108,0.57299,0.36668,2.50323,2.88083,2.43199,0.0015446,0.0015446,0.0015446
25,1946.82,2.30247,2.15244,2.52065,0.76396,0.56757,0.6107,0.39903,2.44058,2.73383,2.39217,0.0015248,0.0015248,0.0015248
26,2023.03,2.31417,2.19756,2.525,0.75719,0.58108,0.59111,0.37964,2.50129,2.70365,2.37621,0.001505,0.001505,0.001505
27,2098.91,2.29639,2.13525,2.51074,0.76511,0.50676,0.58837,0.38586,2.49186,2.89479,2.41438,0.0014852,0.0014852,0.0014852
28,2175.66,2.28045,2.18872,2.51093,0.7098,0.56191,0.62728,0.43441,2.37884,2.68912,2.27619,0.0014654,0.0014654,0.0014654
29,2252.2,2.2416,2.1273,2.49916,0.65706,0.5473,0.57304,0.37711,2.34074,2.7919,2.31065,0.0014456,0.0014456,0.0014456
30,2328.8,2.20844,2.05673,2.46916,0.66116,0.58108,0.56907,0.3843,2.21679,2.83486,2.29823,0.0014258,0.0014258,0.0014258
31,2405,2.24331,2.08222,2.48628,0.73304,0.59372,0.59996,0.41728,2.2685,2.58629,2.31971,0.001406,0.001406,0.001406
32,2480.8,2.22705,2.07221,2.47629,0.69865,0.54054,0.57508,0.39727,2.20067,2.7837,2.26028,0.0013862,0.0013862,0.0013862
33,2556.72,2.20987,2.06739,2.47103,0.68846,0.56757,0.56479,0.36743,2.32995,2.68049,2.30417,0.0013664,0.0013664,0.0013664
34,2633.73,2.18231,2.0503,2.4467,0.72789,0.54224,0.59148,0.42118,2.23617,2.61633,2.26207,0.0013466,0.0013466,0.0013466
35,2711.4,2.14127,2.01697,2.42434,0.70642,0.55278,0.56662,0.40132,2.33462,2.70547,2.31018,0.0013268,0.0013268,0.0013268
36,2788.23,2.16079,2.01011,2.44417,0.74124,0.58108,0.58538,0.40859,2.24371,2.63109,2.2354,0.001307,0.001307,0.001307
