epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.625,3.46995,3.21796,3.41058,0.06956,0.16671,0.03842,0.00662,3.35357,5.39502,2.36851,0.000663805,0.000663805,0.000663805
2,274.749,2.61286,2.42333,2.64695,0.07274,0.13569,0.03435,0.00791,2.95725,3.81504,2.14733,0.0013173,0.0013173,0.0013173
3,406.616,2.26258,2.15635,2.34603,0.19103,0.37162,0.14605,0.03556,2.62559,2.83665,1.89064,0.0019576,0.0019576,0.0019576
4,538.304,2.02468,1.93299,2.13401,0.29866,0.37838,0.21034,0.06759,2.51703,2.41748,2.01963,0.0019406,0.0019406,0.0019406
5,670.959,1.84154,1.71033,1.95423,0.37663,0.39189,0.30972,0.10855,2.37399,2.4243,1.90656,0.0019208,0.0019208,0.0019208
6,802.392,1.69675,1.59125,1.83337,0.35455,0.45946,0.29975,0.12104,2.09821,2.24733,1.83262,0.001901,0.001901,0.001901
7,934.321,1.58685,1.47632,1.73901,0.40285,0.37162,0.30304,0.13896,2.02202,2.0459,1.74634,0.0018812,0.0018812,0.0018812
8,1067.26,1.52447,1.41424,1.67782,0.43272,0.41216,0.35286,0.12914,2.12532,2.15996,1.77504,0.0018614,0.0018614,0.0018614
9,1198.36,1.46065,1.35641,1.62667,0.44321,0.47297,0.40495,0.15866,1.9497,2.07623,1.69044,0.0018416,0.0018416,0.0018416
10,1330.09,1.42287,1.31159,1.58567,0.40712,0.5,0.36848,0.19032,1.78079,1.88394,1.5867,0.0018218,0.0018218,0.0018218
11,1461.54,1.37685,1.29132,1.54717,0.64231,0.46107,0.47459,0.19718,1.88782,1.89811,1.58727,0.001802,0.001802,0.001802
12,1595.91,1.34428,1.26743,1.53229,0.55536,0.55405,0.45492,0.23751,1.73545,1.99431,1.53189,0.0017822,0.0017822,0.0017822
13,1731.75,1.31464,1.21671,1.50652,0.65691,0.52703,0.51751,0.28805,1.65684,1.76532,1.49187,0.0017624,0.0017624,0.0017624
14,1870.19,1.29104,1.18595,1.46668,0.5845,0.55405,0.50611,0.26855,1.54676,1.65382,1.42883,0.0017426,0.0017426,0.0017426
15,2002.04,1.24557,1.15908,1.44579,0.64603,0.53028,0.54496,0.24153,1.73186,1.88117,1.54945,0.0017228,0.0017228,0.0017228
16,2134.3,1.2434,1.15129,1.44164,0.71746,0.5662,0.56486,0.34925,1.48288,1.60119,1.39361,0.001703,0.001703,0.001703
17,2272.59,1.20821,1.1213,1.41247,0.69878,0.54054,0.54328,0.33588,1.47819,1.53829,1.38897,0.0016832,0.0016832,0.0016832
18,2406.14,1.19594,1.10621,1.40865,0.67739,0.53378,0.54978,0.32758,1.50357,1.58135,1.36216,0.0016634,0.0016634,0.0016634
19,2538.83,1.20578,1.11691,1.41849,0.68708,0.52027,0.54994,0.34717,1.4648,1.57839,1.42344,0.0016436,0.0016436,0.0016436
20,2671.17,1.17403,1.07427,1.37398,0.66447,0.56757,0.55359,0.34785,1.37374,1.60104,1.31348,0.0016238,0.0016238,0.0016238
21,2803.06,1.16001,1.07233,1.36776,0.6459,0.56757,0.58795,0.34519,1.37216,1.54152,1.32284,0.001604,0.001604,0.001604
22,2934.92,1.13857,1.03387,1.35475,0.71413,0.58108,0.58455,0.36726,1.38149,1.43837,1.30091,0.0015842,0.0015842,0.0015842
23,3073.73,1.11829,1.02576,1.33705,0.56969,0.62838,0.55558,0.35517,1.33494,1.54862,1.28345,0.0015644,0.0015644,0.0015644
24,3205.46,1.12349,1.03012,1.33985,0.59137,0.57694,0.5583,0.35254,1.35219,1.44779,1.28136,0.0015446,0.0015446,0.0015446
25,3343.36,1.10655,0.99898,1.31926,0.72453,0.58108,0.60739,0.40354,1.25535,1.40872,1.25429,0.0015248,0.0015248,0.0015248
