epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.3049,3.71778,3.84708,3.60084,0.01602,0.06757,0.01207,0.00265,3.19349,3.99215,2.55213,0.000663805,0.000663805,0.000663805
2,185.164,2.68666,2.75584,2.71099,0.08892,0.10811,0.03227,0.00656,3.1154,3.46904,2.39344,0.0013173,0.0013173,0.0013173
3,272.019,2.36393,2.36597,2.39121,0.14008,0.27703,0.09816,0.02547,2.76352,2.92302,2.40312,0.0019576,0.0019576,0.0019576
4,357.86,2.12443,2.12874,2.18112,0.28823,0.29054,0.24098,0.0776,2.4385,2.46905,2.04504,0.0019406,0.0019406,0.0019406
5,445.111,1.93431,1.91063,1.99881,0.36763,0.39673,0.28137,0.10545,2.30118,2.56625,1.98607,0.0019208,0.0019208,0.0019208
6,533.145,1.77413,1.76475,1.86627,0.36902,0.47297,0.33789,0.14629,2.07418,2.22114,1.86871,0.001901,0.001901,0.001901
7,619.625,1.65448,1.61373,1.77095,0.33264,0.41216,0.25037,0.0964,2.10747,2.24427,1.74844,0.0018812,0.0018812,0.0018812
8,704.8,1.59582,1.54836,1.70275,0.45614,0.46622,0.3591,0.13839,2.11578,2.32714,1.72374,0.0018614,0.0018614,0.0018614
9,790.407,1.52958,1.47845,1.6685,0.55069,0.52703,0.43948,0.18737,2.00624,1.91976,1.69887,0.0018416,0.0018416,0.0018416
10,876.995,1.47391,1.41078,1.6098,0.55808,0.52027,0.48065,0.25496,1.7997,1.8356,1.58523,0.0018218,0.0018218,0.0018218
11,963.889,1.42442,1.38492,1.5768,0.61247,0.44595,0.44852,0.22639,1.76117,2.04138,1.53354,0.001802,0.001802,0.001802
12,1051.12,1.40829,1.3443,1.56558,0.48228,0.5473,0.4632,0.27088,1.68196,1.72731,1.46342,0.0017822,0.0017822,0.0017822
13,1136.95,1.38392,1.30342,1.53807,0.71307,0.53378,0.56122,0.29799,1.67715,1.74566,1.49932,0.0017624,0.0017624,0.0017624
14,1224.54,1.35605,1.27726,1.50768,0.63978,0.5473,0.53174,0.27078,1.68436,1.72501,1.45,0.0017426,0.0017426,0.0017426
15,1310.44,1.30576,1.24046,1.48844,0.61625,0.60135,0.54827,0.30178,1.46678,1.72731,1.40716,0.0017228,0.0017228,0.0017228
16,1397.84,1.30071,1.2284,1.47751,0.70263,0.60667,0.58907,0.34371,1.506,1.58767,1.39146,0.001703,0.001703,0.001703
17,1484.59,1.27478,1.20489,1.4524,0.58038,0.53378,0.49072,0.29998,1.44244,1.67074,1.434,0.0016832,0.0016832,0.0016832
18,1570.97,1.2503,1.19296,1.43432,0.67314,0.56081,0.55779,0.32675,1.42907,1.59189,1.36178,0.0016634,0.0016634,0.0016634
19,1656.76,1.26435,1.19822,1.44538,0.69389,0.62162,0.62521,0.37843,1.39575,1.45431,1.37452,0.0016436,0.0016436,0.0016436
20,1744.71,1.22215,1.15402,1.4039,0.62037,0.58108,0.5242,0.31329,1.44653,1.61387,1.34776,0.0016238,0.0016238,0.0016238
21,1831.39,1.2147,1.14122,1.40527,0.71593,0.56196,0.60675,0.37281,1.36048,1.53078,1.32011,0.001604,0.001604,0.001604
22,1917.03,1.19161,1.10646,1.38946,0.69899,0.62162,0.60586,0.36698,1.36459,1.49677,1.32575,0.0015842,0.0015842,0.0015842
23,2003.67,1.17736,1.09238,1.37604,0.63872,0.62838,0.58996,0.38661,1.27436,1.47869,1.26866,0.0015644,0.0015644,0.0015644
24,2088.9,1.17521,1.09824,1.37841,0.68995,0.60135,0.61891,0.39111,1.3489,1.48519,1.31105,0.0015446,0.0015446,0.0015446
25,2175.12,1.16892,1.06661,1.36866,0.63567,0.63514,0.62082,0.39504,1.32937,1.42039,1.28652,0.0015248,0.0015248,0.0015248
26,2260.45,1.16389,1.07596,1.36085,0.69015,0.56757,0.60646,0.37918,1.319,1.42322,1.26402,0.001505,0.001505,0.001505
27,2347.04,1.14519,1.07128,1.34842,0.73867,0.56757,0.60546,0.4109,1.23261,1.44697,1.25946,0.0014852,0.0014852,0.0014852
28,2432.37,1.14087,1.07014,1.34916,0.67421,0.62162,0.62134,0.40143,1.2735,1.39415,1.26478,0.0014654,0.0014654,0.0014654
29,2519.08,1.12148,1.03891,1.3376,0.71487,0.64189,0.61963,0.40656,1.20877,1.34041,1.25047,0.0014456,0.0014456,0.0014456
30,2605.34,1.11915,1.02201,1.32488,0.70758,0.63514,0.63414,0.41401,1.2672,1.42658,1.2639,0.0014258,0.0014258,0.0014258
31,2691.45,1.12392,1.0139,1.33061,0.70653,0.60188,0.63138,0.43014,1.24295,1.33904,1.25908,0.001406,0.001406,0.001406
32,2778.29,1.10783,1.01825,1.32552,0.77259,0.62838,0.66648,0.45307,1.24658,1.33201,1.27168,0.0013862,0.0013862,0.0013862
33,2862.94,1.10546,1.02936,1.32389,0.73272,0.6298,0.65545,0.43202,1.21503,1.4419,1.26592,0.0013664,0.0013664,0.0013664
34,2949.13,1.0861,0.99087,1.3074,0.77413,0.62529,0.65251,0.43676,1.17896,1.31509,1.21938,0.0013466,0.0013466,0.0013466
35,3033.96,1.07354,0.98186,1.29644,0.75659,0.63007,0.65937,0.43791,1.23371,1.40312,1.25162,0.0013268,0.0013268,0.0013268
36,3119.91,1.07934,0.99879,1.30076,0.70418,0.62838,0.64713,0.41684,1.18341,1.44738,1.23602,0.001307,0.001307,0.001307
37,3205.26,1.06124,0.96533,1.28549,0.73119,0.65541,0.67012,0.44176,1.19741,1.28885,1.20873,0.0012872,0.0012872,0.0012872
38,3290.92,1.05284,0.968,1.28133,0.73092,0.62405,0.65752,0.44164,1.13281,1.30467,1.18536,0.0012674,0.0012674,0.0012674
39,3379.34,1.04415,0.96677,1.28279,0.7829,0.60917,0.67556,0.45898,1.21997,1.29097,1.24349,0.0012476,0.0012476,0.0012476
40,3464.71,1.07127,0.96356,1.29224,0.79354,0.60811,0.67563,0.44843,1.22351,1.25627,1.22704,0.0012278,0.0012278,0.0012278
41,3550.48,1.03867,0.95926,1.27996,0.77789,0.63894,0.6703,0.45427,1.18055,1.31534,1.20551,0.001208,0.001208,0.001208
42,3638.55,1.02849,0.93565,1.26131,0.78295,0.63371,0.64211,0.44442,1.14951,1.29793,1.19088,0.0011882,0.0011882,0.0011882
43,3724.88,1.04139,0.94631,1.27877,0.81907,0.61178,0.66604,0.45129,1.1548,1.20148,1.19842,0.0011684,0.0011684,0.0011684
44,3810.97,1.04386,0.95003,1.2762,0.76457,0.60135,0.66224,0.46572,1.10502,1.21335,1.17744,0.0011486,0.0011486,0.0011486
45,3897.05,1.03862,0.93426,1.26811,0.78731,0.6253,0.65953,0.47922,1.12272,1.22357,1.192,0.0011288,0.0011288,0.0011288
46,3982.63,1.03662,0.92925,1.27438,0.83332,0.62838,0.6827,0.46538,1.11512,1.36639,1.17069,0.001109,0.001109,0.001109
47,4068.47,1.02956,0.92841,1.27603,0.7836,0.61486,0.64343,0.43797,1.0719,1.26736,1.14004,0.0010892,0.0010892,0.0010892
48,4152.83,1.02516,0.92523,1.25722,0.77659,0.68113,0.68801,0.48062,1.08863,1.16564,1.18796,0.0010694,0.0010694,0.0010694
49,4237.93,1.00749,0.89727,1.249,0.74131,0.64189,0.64014,0.43949,1.12781,1.26363,1.1775,0.0010496,0.0010496,0.0010496
50,4323.56,0.99685,0.88756,1.24275,0.79957,0.64694,0.67299,0.45477,1.11674,1.26515,1.18183,0.0010298,0.0010298,0.0010298
51,4408.17,1.00318,0.88224,1.24992,0.78693,0.63514,0.67475,0.4497,1.08692,1.24379,1.16302,0.00101,0.00101,0.00101
