epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.645,4.45915,3.9991,4.09245,0.00071,0.16216,0.001,0.00032,4.7331,3.57179,3.96202,0.0701288,0.00331903,0.00331903
2,340.813,3.38004,3.02173,3.36086,0.06505,0.16216,0.02798,0.00566,3.4667,3.04469,2.64268,0.0400629,0.0065865,0.0065865
3,513.758,2.69468,2.52484,2.79665,0.24627,0.16892,0.09297,0.01804,3.12676,5.63162,2.43854,0.00993104,0.00978798,0.00978798
4,686.236,2.22396,2.15119,2.35405,0.25967,0.38156,0.19497,0.04772,2.68913,2.84178,2.04258,0.009703,0.009703,0.009703
5,858.745,1.86829,1.76857,2.03074,0.56706,0.27703,0.32354,0.10703,2.62788,2.89924,2.06824,0.009604,0.009604,0.009604
6,1031.16,1.64616,1.55897,1.85754,0.43981,0.52703,0.37831,0.14001,2.14088,2.38259,1.70458,0.009505,0.009505,0.009505
7,1203.75,1.50083,1.44069,1.72189,0.54063,0.5328,0.44309,0.22481,1.97751,2.10701,1.72452,0.009406,0.009406,0.009406
8,1375.63,1.40997,1.36775,1.63384,0.59995,0.49652,0.50106,0.23906,1.9588,2.18686,1.69289,0.009307,0.009307,0.009307
9,1548.36,1.35296,1.295,1.57667,0.6078,0.47122,0.49893,0.24735,1.96235,1.99951,1.69919,0.009208,0.009208,0.009208
10,1721.3,1.30492,1.27054,1.54014,0.66479,0.603,0.60256,0.36409,1.565,1.84455,1.49559,0.009109,0.009109,0.009109
11,1893.93,1.25697,1.22819,1.49627,0.67115,0.5473,0.55753,0.33015,1.63479,1.95185,1.4485,0.00901,0.00901,0.00901
12,2066.72,1.23503,1.20513,1.46953,0.54123,0.57393,0.47771,0.2469,1.74072,1.81282,1.49438,0.008911,0.008911,0.008911
13,2238.41,1.20575,1.16592,1.4466,0.64125,0.64011,0.56005,0.31376,1.5588,1.66087,1.4272,0.008812,0.008812,0.008812
14,2409.87,1.17625,1.11353,1.41728,0.69747,0.60751,0.5523,0.34254,1.49998,1.68606,1.41625,0.008713,0.008713,0.008713
15,2581.96,1.14311,1.08322,1.39326,0.66892,0.65528,0.64879,0.39255,1.39799,1.5223,1.33822,0.008614,0.008614,0.008614
16,2754.58,1.12536,1.07076,1.37352,0.73272,0.60135,0.62243,0.38164,1.46935,1.56893,1.35928,0.008515,0.008515,0.008515
17,2926.38,1.12443,1.05929,1.3701,0.66213,0.62162,0.54976,0.3582,1.36319,1.58777,1.30428,0.008416,0.008416,0.008416
18,3098.09,1.10803,1.04718,1.36637,0.7436,0.58786,0.6058,0.38494,1.37421,1.58076,1.29361,0.008317,0.008317,0.008317
19,3269.47,1.0825,1.02374,1.34809,0.7415,0.58146,0.58732,0.40843,1.27619,1.48877,1.29974,0.008218,0.008218,0.008218
20,3442.14,1.06913,0.9941,1.3286,0.64685,0.62162,0.63214,0.41187,1.32734,1.4054,1.27652,0.008119,0.008119,0.008119
21,3614.97,1.06586,0.99344,1.32133,0.68107,0.60811,0.63083,0.39592,1.42418,1.4582,1.32081,0.00802,0.00802,0.00802
22,3787.72,1.05253,0.9961,1.31916,0.60097,0.67568,0.60456,0.40348,1.27273,1.43832,1.24277,0.007921,0.007921,0.007921
23,3960.51,1.03818,0.97357,1.3083,0.6932,0.70225,0.65439,0.43968,1.20127,1.3405,1.1731,0.007822,0.007822,0.007822
24,4132.66,1.03123,0.94123,1.29092,0.71888,0.64189,0.66852,0.42639,1.22069,1.38939,1.23887,0.007723,0.007723,0.007723
25,4304.56,1.02174,0.93606,1.29198,0.80393,0.63514,0.65511,0.44856,1.19276,1.31494,1.2102,0.007624,0.007624,0.007624
26,4476.13,1.02565,0.932,1.29816,0.74374,0.60791,0.62945,0.42795,1.2428,1.3775,1.21481,0.007525,0.007525,0.007525
27,4647.19,1.01212,0.92699,1.28554,0.7563,0.60811,0.661,0.44659,1.21701,1.38279,1.24569,0.007426,0.007426,0.007426
28,4818.56,0.9959,0.91412,1.28237,0.70338,0.62162,0.62698,0.42219,1.19682,1.3117,1.21519,0.007327,0.007327,0.007327
29,4989.73,0.98597,0.8978,1.27721,0.75811,0.61413,0.60382,0.4322,1.10789,1.33289,1.17503,0.007228,0.007228,0.007228
30,5161.2,0.99138,0.88588,1.26903,0.80362,0.63594,0.67749,0.45816,1.14812,1.26109,1.18056,0.007129,0.007129,0.007129
31,5333.18,0.98385,0.88822,1.26651,0.80047,0.62838,0.66448,0.4623,1.12085,1.27074,1.15109,0.00703,0.00703,0.00703
32,5504.9,0.98197,0.88463,1.26133,0.73321,0.64865,0.66433,0.4499,1.17328,1.2584,1.19457,0.006931,0.006931,0.006931
33,5677.59,0.97795,0.87704,1.26698,0.75964,0.59459,0.65886,0.4523,1.17248,1.28226,1.15637,0.006832,0.006832,0.006832
34,5849.26,0.94682,0.86157,1.25087,0.68292,0.64189,0.62684,0.42567,1.17889,1.27183,1.21322,0.006733,0.006733,0.006733
35,6021.45,0.96123,0.8631,1.2506,0.81465,0.60135,0.68927,0.47318,1.1438,1.236,1.18346,0.006634,0.006634,0.006634
36,6193.49,0.95921,0.87126,1.24685,0.77405,0.60811,0.6627,0.48462,1.09081,1.23334,1.17021,0.006535,0.006535,0.006535
37,6365.02,0.93893,0.83573,1.23423,0.75197,0.62162,0.63366,0.45219,1.13145,1.2755,1.16351,0.006436,0.006436,0.006436
38,6536.82,0.94417,0.83325,1.23768,0.77271,0.58784,0.68064,0.45761,1.19502,1.23261,1.17811,0.006337,0.006337,0.006337
39,6708.62,0.93948,0.82727,1.23573,0.77596,0.65525,0.65469,0.46125,1.16103,1.28811,1.18189,0.006238,0.006238,0.006238
40,6880.02,0.91506,0.80626,1.22331,0.73466,0.6735,0.675,0.4692,1.15148,1.24532,1.21453,0.006139,0.006139,0.006139
41,7051.36,0.91507,0.80469,1.21605,0.76106,0.64564,0.67579,0.48419,1.05904,1.25577,1.15452,0.00604,0.00604,0.00604
42,7223.8,0.92152,0.81589,1.22274,0.76899,0.65228,0.64959,0.45545,1.13784,1.21764,1.15319,0.005941,0.005941,0.005941
43,7395.6,0.92406,0.83211,1.2221,0.77122,0.60811,0.6586,0.46239,1.15083,1.25907,1.2065,0.005842,0.005842,0.005842
44,7567.22,0.90483,0.79129,1.21624,0.76477,0.62838,0.67369,0.47847,1.10388,1.21118,1.15259,0.005743,0.005743,0.005743
45,7739.69,0.9101,0.79803,1.21409,0.77626,0.65639,0.72886,0.4987,1.07281,1.14827,1.16895,0.005644,0.005644,0.005644
46,7912.13,0.89968,0.79272,1.20983,0.74231,0.66177,0.70559,0.51333,1.06426,1.20871,1.12897,0.005545,0.005545,0.005545
47,8084.7,0.88548,0.78449,1.19541,0.7647,0.69595,0.68931,0.50964,1.01961,1.08781,1.09932,0.005446,0.005446,0.005446
48,8256.87,0.8891,0.78901,1.20154,0.70106,0.65541,0.68702,0.48622,1.03211,1.14651,1.11132,0.005347,0.005347,0.005347
49,8428.99,0.89528,0.77548,1.20313,0.74169,0.67902,0.72682,0.51472,1.05497,1.09607,1.13038,0.005248,0.005248,0.005248
50,8600.18,0.8831,0.76847,1.19441,0.80834,0.65541,0.73814,0.54864,0.99263,1.08682,1.08981,0.005149,0.005149,0.005149
51,8772.76,0.88999,0.77656,1.19846,0.77977,0.64189,0.68887,0.49154,1.04814,1.18839,1.12744,0.00505,0.00505,0.00505
52,8944.23,0.87891,0.76143,1.18894,0.8075,0.63514,0.67403,0.49348,1.06683,1.17637,1.13998,0.004951,0.004951,0.004951
53,9116.01,0.88071,0.76154,1.18864,0.7842,0.66892,0.72305,0.50287,1.06941,1.15502,1.11989,0.004852,0.004852,0.004852
54,9288.01,0.8647,0.75138,1.184,0.8099,0.66892,0.71485,0.51024,1.02429,1.09889,1.10471,0.004753,0.004753,0.004753
55,9460.43,0.86458,0.74696,1.18276,0.84339,0.61859,0.71026,0.51277,1.00942,1.13093,1.12991,0.004654,0.004654,0.004654
56,9632.09,0.86201,0.74687,1.18103,0.92054,0.62622,0.72976,0.52877,1.02101,1.08867,1.12427,0.004555,0.004555,0.004555
57,9804.19,0.85451,0.72004,1.17862,0.80144,0.66892,0.70628,0.52324,1.06377,1.14643,1.12369,0.004456,0.004456,0.004456
58,9976.13,0.84403,0.71449,1.17154,0.81404,0.65073,0.6985,0.52037,1.03756,1.10365,1.13089,0.004357,0.004357,0.004357
59,10148,0.85122,0.71926,1.17138,0.81037,0.67568,0.72081,0.53369,1.00184,1.08435,1.10725,0.004258,0.004258,0.004258
60,10319.3,0.84248,0.70893,1.17458,0.75186,0.66216,0.71157,0.51094,1.05335,1.12207,1.13589,0.004159,0.004159,0.004159
61,10491.6,0.83967,0.7103,1.15974,0.8034,0.66269,0.71939,0.53517,1.06595,1.0581,1.12337,0.00406,0.00406,0.00406
62,10663.1,0.83331,0.69592,1.16311,0.79834,0.64189,0.72956,0.54385,0.98057,1.08495,1.08362,0.003961,0.003961,0.003961
63,10835.3,0.84312,0.69564,1.17317,0.80749,0.65189,0.6972,0.5023,1.02337,1.09978,1.11092,0.003862,0.003862,0.003862
64,11007,0.83511,0.69781,1.15384,0.83534,0.65541,0.71829,0.52135,0.99218,1.08164,1.0944,0.003763,0.003763,0.003763
65,11179.2,0.83043,0.70256,1.16375,0.83286,0.66216,0.69566,0.50826,1.0145,1.1456,1.11732,0.003664,0.003664,0.003664
66,11351.8,0.82739,0.69251,1.16204,0.82171,0.65541,0.7145,0.52346,1.05998,1.08353,1.16975,0.003565,0.003565,0.003565
67,11524.4,0.84138,0.69144,1.16552,0.80813,0.63514,0.70722,0.51387,1.02231,1.12387,1.08972,0.003466,0.003466,0.003466
68,11696.9,0.82078,0.67656,1.15153,0.80626,0.64865,0.70518,0.5252,1.01192,1.07204,1.09187,0.003367,0.003367,0.003367
69,11869.3,0.81729,0.67095,1.15106,0.81486,0.62454,0.69447,0.51046,1.01193,1.08153,1.11489,0.003268,0.003268,0.003268
70,12041.9,0.82406,0.68833,1.15664,0.773,0.7027,0.72631,0.52473,1.00469,1.08147,1.09953,0.003169,0.003169,0.003169
71,12214.6,0.81212,0.6635,1.14591,0.84472,0.66163,0.71415,0.54016,0.98337,1.08778,1.08375,0.00307,0.00307,0.00307
72,12387.1,0.80826,0.65482,1.14324,0.78439,0.68829,0.71642,0.52148,1.01152,1.09082,1.09596,0.002971,0.002971,0.002971
73,12559.5,0.80964,0.64815,1.14708,0.83199,0.63573,0.69489,0.5317,0.95029,1.08019,1.06501,0.002872,0.002872,0.002872
74,12732.6,0.79578,0.63765,1.13677,0.80919,0.6877,0.72331,0.53044,1.01691,1.03266,1.1074,0.002773,0.002773,0.002773
75,12905.3,0.80611,0.65153,1.14437,0.83325,0.67568,0.72409,0.53704,1.00035,1.05721,1.09649,0.002674,0.002674,0.002674
76,13078,0.78108,0.64484,1.13446,0.83315,0.67482,0.71811,0.53173,0.99866,1.07513,1.08223,0.002575,0.002575,0.002575
77,13250.6,0.79012,0.63629,1.13323,0.76479,0.67568,0.71182,0.54873,0.96992,1.00136,1.08193,0.002476,0.002476,0.002476
78,13423,0.78646,0.62662,1.1307,0.80588,0.68919,0.75641,0.56358,0.9351,1.02545,1.03367,0.002377,0.002377,0.002377
79,13595.5,0.77551,0.62341,1.12188,0.85949,0.66131,0.70495,0.52997,0.92657,1.04788,1.0587,0.002278,0.002278,0.002278
80,13767.8,0.77,0.62263,1.124,0.8375,0.64189,0.71329,0.5451,0.9551,1.04115,1.05245,0.002179,0.002179,0.002179
81,13940,0.77624,0.62008,1.12344,0.78105,0.69595,0.73482,0.55554,0.94373,1.03169,1.04928,0.00208,0.00208,0.00208
82,14112.8,0.77659,0.61255,1.12525,0.83247,0.63795,0.7216,0.54261,0.97,1.032,1.06405,0.001981,0.001981,0.001981
83,14285.3,0.76308,0.59984,1.11499,0.86882,0.67128,0.74283,0.54475,0.99294,1.00191,1.10179,0.001882,0.001882,0.001882
84,14457.3,0.756,0.58831,1.10859,0.86904,0.62838,0.71086,0.52763,0.96114,1.03697,1.06735,0.001783,0.001783,0.001783
85,14630,0.74827,0.57978,1.10395,0.83988,0.68919,0.73857,0.55031,0.94829,1.03094,1.06662,0.001684,0.001684,0.001684
86,14802.6,0.74633,0.58558,1.10265,0.85133,0.65778,0.72323,0.54921,0.95554,1.01212,1.07077,0.001585,0.001585,0.001585
87,14974.6,0.75466,0.58554,1.10663,0.8326,0.67568,0.71883,0.54758,0.96524,1.02959,1.07197,0.001486,0.001486,0.001486
88,15147,0.75476,0.58356,1.11489,0.81183,0.68243,0.72812,0.53925,0.97755,1.04863,1.10876,0.001387,0.001387,0.001387
89,15319.7,0.75791,0.58826,1.11052,0.85443,0.68243,0.74287,0.56292,0.95081,0.98759,1.07594,0.001288,0.001288,0.001288
90,15492.3,0.73777,0.56841,1.09822,0.89777,0.65273,0.73465,0.55349,0.9411,0.99835,1.07424,0.001189,0.001189,0.001189
91,15665,0.61041,0.54236,1.07877,0.81238,0.68243,0.71892,0.55745,0.93678,1.02073,1.08267,0.00109,0.00109,0.00109
92,15836,0.59805,0.5066,1.06829,0.86788,0.66576,0.73129,0.56106,0.92245,0.99806,1.07041,0.000991,0.000991,0.000991
93,16007,0.59983,0.50316,1.06348,0.87417,0.65715,0.74672,0.56669,0.92183,0.98188,1.06437,0.000892,0.000892,0.000892
94,16178,0.58069,0.49195,1.05312,0.86463,0.67568,0.72156,0.56005,0.91566,0.97793,1.07306,0.000793,0.000793,0.000793
95,16349.1,0.58457,0.49478,1.05646,0.87126,0.64017,0.71318,0.5561,0.9158,0.9865,1.05878,0.000694,0.000694,0.000694
96,16520.4,0.57443,0.48528,1.05353,0.84474,0.67568,0.73042,0.55545,0.9231,0.99957,1.06711,0.000595,0.000595,0.000595
97,16691.4,0.56933,0.473,1.04966,0.84349,0.66216,0.71856,0.55174,0.90158,0.99921,1.05471,0.000496,0.000496,0.000496
98,16863.2,0.56989,0.4655,1.04992,0.89661,0.64456,0.72608,0.54696,0.91917,1.02133,1.06966,0.000397,0.000397,0.000397
99,17035,0.56232,0.47072,1.04298,0.88686,0.64189,0.73016,0.55697,0.90811,0.99843,1.07254,0.000298,0.000298,0.000298
100,17206.9,0.5566,0.45327,1.04089,0.89641,0.64317,0.73326,0.56034,0.91254,0.98546,1.06374,0.000199,0.000199,0.000199
