epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.7151,3.53293,3.53482,3.45243,0.08048,0.11887,0.02962,0.00591,3.07564,3.4509,2.56364,0.000663805,0.000663805,0.000663805
2,168.182,2.60208,2.58077,2.65705,0.09409,0.14865,0.04484,0.00894,2.86143,6.8729,2.14431,0.0013173,0.0013173,0.0013173
3,246.248,2.32505,2.28106,2.39226,0.10013,0.37838,0.07344,0.02038,2.60871,3.33166,2.03533,0.0019576,0.0019576,0.0019576
4,324.152,2.12272,2.1321,2.2158,0.2199,0.29054,0.16371,0.04868,2.57161,2.61879,2.05278,0.0019406,0.0019406,0.0019406
5,402.987,1.96226,1.96335,2.06239,0.19619,0.51351,0.1636,0.04881,2.39726,3.06833,2.00689,0.0019208,0.0019208,0.0019208
6,481.184,1.84108,1.84499,1.96423,0.31547,0.36486,0.29017,0.10555,2.26051,2.32288,1.92938,0.001901,0.001901,0.001901
7,559.117,1.72307,1.68643,1.84972,0.45292,0.5,0.33503,0.12356,2.07721,2.06397,1.81761,0.0018812,0.0018812,0.0018812
8,636.701,1.62734,1.57338,1.77083,0.42871,0.48649,0.36723,0.14207,2.04857,2.00209,1.76593,0.0018614,0.0018614,0.0018614
9,714.85,1.54696,1.48473,1.70847,0.59758,0.48649,0.43336,0.19912,1.97832,2.10261,1.74814,0.0018416,0.0018416,0.0018416
10,792.061,1.49878,1.43124,1.65773,0.49659,0.45946,0.42897,0.20421,1.79551,1.98636,1.65149,0.0018218,0.0018218,0.0018218
11,869.237,1.44113,1.38266,1.61759,0.45405,0.52027,0.40275,0.20801,1.72411,1.97284,1.55797,0.001802,0.001802,0.001802
12,946.426,1.38527,1.33275,1.58166,0.50214,0.56757,0.44782,0.23321,1.74866,1.87394,1.50926,0.0017822,0.0017822,0.0017822
13,1023.97,1.37398,1.29676,1.57436,0.66112,0.58108,0.54913,0.3112,1.57354,1.74761,1.44402,0.0017624,0.0017624,0.0017624
14,1102.25,1.35271,1.2602,1.54356,0.56303,0.58108,0.50507,0.2594,1.71796,1.87631,1.5096,0.0017426,0.0017426,0.0017426
15,1179.44,1.30097,1.22192,1.51211,0.60896,0.57874,0.51481,0.25833,1.66595,1.77087,1.44369,0.0017228,0.0017228,0.0017228
16,1257.36,1.29403,1.21615,1.49861,0.61217,0.61486,0.50937,0.28447,1.54114,1.75568,1.42548,0.001703,0.001703,0.001703
17,1335.31,1.26904,1.17635,1.47997,0.51475,0.63514,0.48329,0.26251,1.48993,1.67572,1.39647,0.0016832,0.0016832,0.0016832
18,1413.03,1.24622,1.15999,1.4647,0.57469,0.58784,0.50161,0.29396,1.43433,1.58674,1.36437,0.0016634,0.0016634,0.0016634
19,1490.45,1.23954,1.17277,1.46663,0.69152,0.60587,0.56717,0.3295,1.46877,1.58943,1.34653,0.0016436,0.0016436,0.0016436
20,1567.86,1.215,1.11771,1.43268,0.64814,0.60811,0.60012,0.3581,1.41014,1.49331,1.35481,0.0016238,0.0016238,0.0016238
21,1644.79,1.21266,1.11897,1.43444,0.69173,0.60811,0.55768,0.3294,1.35643,1.57674,1.31791,0.001604,0.001604,0.001604
22,1721.96,1.18371,1.07786,1.41535,0.69313,0.60135,0.5862,0.35235,1.35365,1.45762,1.30106,0.0015842,0.0015842,0.0015842
23,1800.93,1.16636,1.0744,1.40192,0.63079,0.68243,0.56717,0.32844,1.32789,1.54624,1.24882,0.0015644,0.0015644,0.0015644
24,1880.66,1.14598,1.05994,1.39084,0.72768,0.60135,0.58999,0.36872,1.30656,1.52451,1.26291,0.0015446,0.0015446,0.0015446
25,1959.07,1.14522,1.03521,1.38198,0.70964,0.62752,0.60772,0.38194,1.29117,1.43354,1.28045,0.0015248,0.0015248,0.0015248
26,2037.86,1.13894,1.03814,1.37567,0.71442,0.62838,0.63414,0.40009,1.30838,1.3747,1.24488,0.001505,0.001505,0.001505
27,2116.63,1.12519,1.03304,1.36997,0.68445,0.62162,0.59559,0.39645,1.27579,1.45155,1.27278,0.0014852,0.0014852,0.0014852
28,2194.83,1.13393,1.04713,1.36961,0.76262,0.58784,0.63591,0.41493,1.21551,1.35938,1.20451,0.0014654,0.0014654,0.0014654
29,2273.15,1.10722,1.00994,1.35995,0.72101,0.66357,0.62814,0.3885,1.26536,1.42502,1.22857,0.0014456,0.0014456,0.0014456
30,2351.04,1.09657,0.98865,1.34304,0.71942,0.64102,0.62485,0.41152,1.21453,1.38125,1.22119,0.0014258,0.0014258,0.0014258
31,2429.06,1.10696,0.99299,1.35459,0.76296,0.59459,0.64009,0.43416,1.20945,1.32735,1.20773,0.001406,0.001406,0.001406
32,2506.92,1.0919,0.98261,1.33779,0.76457,0.61486,0.63765,0.39551,1.26952,1.43849,1.21837,0.0013862,0.0013862,0.0013862
33,2584.63,1.08325,0.98448,1.33961,0.70138,0.5872,0.59991,0.40078,1.22829,1.46974,1.21906,0.0013664,0.0013664,0.0013664
34,2662.8,1.05693,0.96796,1.32108,0.68611,0.63514,0.62376,0.4287,1.18255,1.33413,1.21043,0.0013466,0.0013466,0.0013466
35,2740.73,1.05038,0.94472,1.30695,0.75742,0.63291,0.661,0.42312,1.25223,1.41375,1.21495,0.0013268,0.0013268,0.0013268
36,2818.58,1.05583,0.95004,1.3155,0.74243,0.64189,0.6448,0.44279,1.14292,1.37602,1.19021,0.001307,0.001307,0.001307
37,2896.59,1.03652,0.92692,1.30234,0.72311,0.64865,0.64531,0.44715,1.19023,1.31455,1.2273,0.0012872,0.0012872,0.0012872
38,2974.95,1.01901,0.92572,1.28992,0.76666,0.60135,0.63386,0.44134,1.1984,1.33169,1.20673,0.0012674,0.0012674,0.0012674
39,3052.82,1.01799,0.92489,1.2938,0.70989,0.64189,0.63757,0.40773,1.23174,1.35205,1.24792,0.0012476,0.0012476,0.0012476
40,3130.61,1.04496,0.93581,1.30748,0.7908,0.59459,0.65136,0.4531,1.16504,1.30342,1.1749,0.0012278,0.0012278,0.0012278
