epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.2072,4.44363,4.01201,4.08068,0.00071,0.16216,0.00093,0.0003,4.74347,3.39958,3.95728,0.0701288,0.00331903,0.00331903
2,164.924,3.46557,3.20153,3.37775,0.07352,0.12838,0.02355,0.00388,3.64859,3.9745,2.67534,0.0400629,0.0065865,0.0065865
3,242.005,2.77491,2.56941,2.84325,0.1073,0.27703,0.08953,0.02118,3.15055,3.58225,2.29918,0.00993104,0.00978798,0.00978798
4,318.633,2.38274,2.32719,2.45074,0.19902,0.13514,0.11616,0.02731,2.92555,2.68374,2.09719,0.009703,0.009703,0.009703
5,395.79,2.09843,2.07711,2.17084,0.37575,0.29054,0.23143,0.05706,2.65924,2.82596,2.01216,0.009604,0.009604,0.009604
6,472.88,1.87031,1.85715,1.95653,0.35792,0.33784,0.27807,0.09235,2.41047,2.57298,1.91091,0.009505,0.009505,0.009505
7,549.316,1.69214,1.63817,1.80239,0.35565,0.51351,0.35492,0.13238,2.23283,2.19692,1.8754,0.009406,0.009406,0.009406
8,626.314,1.57285,1.4964,1.69749,0.54998,0.42115,0.44931,0.19946,2.00827,2.05958,1.74845,0.009307,0.009307,0.009307
9,703.096,1.46883,1.41291,1.62387,0.53045,0.52703,0.49247,0.23276,1.90109,1.96422,1.71411,0.009208,0.009208,0.009208
10,779.957,1.40209,1.34441,1.56866,0.59124,0.49845,0.47592,0.21662,2.06636,1.9421,1.70608,0.009109,0.009109,0.009109
11,858.528,1.34193,1.31083,1.52399,0.67069,0.41216,0.49815,0.22438,1.94081,1.8856,1.59401,0.00901,0.00901,0.00901
12,935.326,1.31015,1.28363,1.50145,0.73975,0.5473,0.58194,0.32045,1.57051,1.69449,1.43529,0.008911,0.008911,0.008911
13,1012.59,1.27966,1.22207,1.47844,0.72313,0.56474,0.57733,0.31753,1.62905,1.64422,1.451,0.008812,0.008812,0.008812
14,1089.72,1.25905,1.18921,1.44184,0.68072,0.55405,0.56856,0.31684,1.57299,1.64421,1.43821,0.008713,0.008713,0.008713
15,1166.57,1.22076,1.16345,1.42308,0.63415,0.56219,0.55036,0.32289,1.38966,1.58954,1.33087,0.008614,0.008614,0.008614
16,1243.18,1.20813,1.14634,1.41071,0.68847,0.56081,0.55329,0.28539,1.5545,1.71423,1.41257,0.008515,0.008515,0.008515
17,1320.67,1.19089,1.12299,1.39529,0.67486,0.59459,0.56655,0.34169,1.4398,1.64487,1.39916,0.008416,0.008416,0.008416
18,1397.92,1.15887,1.10153,1.37692,0.7637,0.5473,0.56615,0.34867,1.46696,1.57014,1.31693,0.008317,0.008317,0.008317
19,1475.3,1.17401,1.11983,1.38873,0.75644,0.56661,0.59386,0.38682,1.32451,1.49876,1.30541,0.008218,0.008218,0.008218
20,1552.65,1.13877,1.07085,1.34834,0.75271,0.55531,0.60158,0.37401,1.35735,1.56202,1.32575,0.008119,0.008119,0.008119
21,1629.62,1.13092,1.07485,1.34924,0.69761,0.59235,0.59686,0.37437,1.28632,1.41154,1.2746,0.00802,0.00802,0.00802
22,1706.69,1.11762,1.03733,1.34554,0.66719,0.59599,0.57909,0.36692,1.30157,1.49528,1.3011,0.007921,0.007921,0.007921
23,1784,1.11238,1.0408,1.33611,0.71811,0.62838,0.63599,0.40919,1.27316,1.37632,1.23619,0.007822,0.007822,0.007822
24,1860.7,1.09512,1.03064,1.3273,0.79251,0.60135,0.65659,0.42111,1.27313,1.31093,1.24828,0.007723,0.007723,0.007723
25,1937.32,1.08707,1.00676,1.31127,0.75529,0.60479,0.64121,0.41552,1.28749,1.42487,1.28485,0.007624,0.007624,0.007624
26,2013.88,1.0796,1.00491,1.31192,0.81312,0.60135,0.67471,0.41868,1.26735,1.31392,1.21422,0.007525,0.007525,0.007525
27,2090.51,1.06866,1.00028,1.3002,0.7453,0.64865,0.6598,0.41687,1.27557,1.34818,1.22377,0.007426,0.007426,0.007426
