epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.809,8.95365,10.259,8.35507,0.01351,0.00676,0.00745,0.00146,9.46058,8.51434,8.43602,0.0701288,0.00331903,0.00331903
2,300.093,7.62689,8.10629,7.36217,0.01561,0.01351,0.00229,0.00044,7.93201,9.12905,5.93306,0.0400629,0.0065865,0.0065865
3,442.164,5.6728,6.12188,6.04135,0.00444,0.02703,0.00788,0.00171,6.42324,8.40224,5.09113,0.00993104,0.00978798,0.00978798
4,583.189,4.75581,5.29788,5.17566,0.09542,0.08108,0.04713,0.01026,5.76093,6.00567,4.20247,0.009703,0.009703,0.009703
5,724.392,4.09023,4.50333,4.49887,0.22371,0.27703,0.16172,0.03911,5.15767,5.41198,3.86395,0.009604,0.009604,0.009604
6,865.558,3.64437,3.86212,4.02654,0.26568,0.31081,0.17789,0.04713,5.01619,5.25848,3.94465,0.009505,0.009505,0.009505
7,1006.71,3.33891,3.42797,3.71741,0.27571,0.27703,0.21547,0.06471,4.82716,4.50558,3.52738,0.009406,0.009406,0.009406
8,1147.91,3.12982,3.14877,3.48096,0.4791,0.4527,0.38429,0.12129,4.55502,4.05611,3.43313,0.009307,0.009307,0.009307
9,1289.65,2.96823,2.98639,3.34203,0.38029,0.38514,0.30439,0.10123,4.2474,4.35949,3.33529,0.009208,0.009208,0.009208
10,1431.34,2.8302,2.81219,3.21081,0.45852,0.45946,0.36654,0.1402,4.12159,3.9059,3.32686,0.009109,0.009109,0.009109
11,1573.01,2.72758,2.75501,3.12465,0.44176,0.3743,0.32612,0.1251,3.70897,4.03288,3.01064,0.00901,0.00901,0.00901
12,1714.76,2.64259,2.65365,3.06495,0.447,0.47973,0.37183,0.18062,3.2973,3.71954,3.02641,0.008911,0.008911,0.008911
13,1856.81,2.56168,2.58541,3.00057,0.59197,0.45946,0.4981,0.2351,3.28625,3.63416,2.95449,0.008812,0.008812,0.008812
14,1999.51,2.53027,2.49019,2.93413,0.46723,0.49324,0.45004,0.2596,2.92786,3.69068,2.74168,0.008713,0.008713,0.008713
15,2142.01,2.43317,2.44557,2.88135,0.38982,0.51351,0.34372,0.15153,3.3193,3.77749,2.84128,0.008614,0.008614,0.008614
16,2283.29,2.4242,2.38674,2.85863,0.54934,0.4527,0.41719,0.24487,3.12792,3.43937,2.68737,0.008515,0.008515,0.008515
17,2425.55,2.38463,2.35195,2.82773,0.49797,0.54054,0.4653,0.27681,2.88309,3.49254,2.78012,0.008416,0.008416,0.008416
18,2567.21,2.34265,2.30973,2.79136,0.54202,0.56081,0.50537,0.29259,2.85388,3.16388,2.69411,0.008317,0.008317,0.008317
19,2708.6,2.35051,2.29332,2.80332,0.53742,0.50676,0.48759,0.28878,2.69871,3.26948,2.63862,0.008218,0.008218,0.008218
20,2850.27,2.27869,2.19272,2.73074,0.48359,0.47973,0.40678,0.23256,2.97619,3.39861,2.68466,0.008119,0.008119,0.008119
21,2991.64,2.29091,2.22132,2.73666,0.55498,0.55405,0.53477,0.31975,2.58992,2.95409,2.54508,0.00802,0.00802,0.00802
22,3133.54,2.23478,2.1199,2.69828,0.64264,0.50676,0.5474,0.33628,2.6795,2.98909,2.49701,0.007921,0.007921,0.007921
23,3274.88,2.21511,2.14159,2.6911,0.56122,0.53583,0.51365,0.29168,2.5268,3.01408,2.47459,0.007822,0.007822,0.007822
24,3416.47,2.19496,2.11914,2.67399,0.61007,0.5473,0.54346,0.33273,2.53038,2.9543,2.50354,0.007723,0.007723,0.007723
25,3558.39,2.16575,2.0565,2.63715,0.65357,0.60135,0.57196,0.36405,2.45871,2.87167,2.48447,0.007624,0.007624,0.007624
26,3699.79,2.16626,2.06318,2.65116,0.63036,0.53378,0.57287,0.3546,2.41348,2.72573,2.40437,0.007525,0.007525,0.007525
27,3841.37,2.14186,2.01921,2.63164,0.64704,0.53378,0.52204,0.32921,2.57863,3.03884,2.44014,0.007426,0.007426,0.007426
28,3982.44,2.15784,2.03835,2.63038,0.68006,0.54054,0.58069,0.36304,2.5136,2.75288,2.4781,0.007327,0.007327,0.007327
29,4123.96,2.10166,1.97263,2.61074,0.7066,0.49324,0.55414,0.35158,2.53368,2.97372,2.45386,0.007228,0.007228,0.007228
30,4265.2,2.10368,1.9286,2.58085,0.53292,0.56278,0.49842,0.32439,2.4198,2.96452,2.39485,0.007129,0.007129,0.007129
31,4406.28,2.08566,1.93438,2.58368,0.59277,0.61486,0.58183,0.39487,2.36198,2.7889,2.42337,0.00703,0.00703,0.00703
32,4548.28,2.07618,1.93719,2.56426,0.62385,0.60811,0.56386,0.38116,2.37286,2.69702,2.38141,0.006931,0.006931,0.006931
33,4689.91,2.05729,1.91106,2.55786,0.6414,0.55405,0.56179,0.35412,2.4803,2.79637,2.46912,0.006832,0.006832,0.006832
34,4831.04,2.04018,1.87672,2.5562,0.76081,0.5373,0.61744,0.38427,2.49133,2.78388,2.41565,0.006733,0.006733,0.006733
35,4972.44,2.01151,1.84659,2.5294,0.70186,0.57432,0.5951,0.38778,2.29253,2.78292,2.36524,0.006634,0.006634,0.006634
36,5113.82,2.03058,1.84165,2.53475,0.68832,0.56757,0.58091,0.38663,2.41836,2.71995,2.4122,0.006535,0.006535,0.006535
37,5255.43,1.98905,1.80089,2.5059,0.59555,0.64865,0.5796,0.38507,2.37174,2.75049,2.41479,0.006436,0.006436,0.006436
38,5396.79,1.96953,1.80246,2.48991,0.74996,0.56744,0.60708,0.39938,2.40913,2.60179,2.38259,0.006337,0.006337,0.006337
39,5538.92,1.96039,1.78446,2.50205,0.76674,0.54054,0.63139,0.40431,2.38688,2.59201,2.37439,0.006238,0.006238,0.006238
40,5680.7,2.00535,1.79507,2.52007,0.69813,0.59381,0.60573,0.39803,2.44757,2.46035,2.43204,0.006139,0.006139,0.006139
